epoch,step,test_brand_accuracy,test_brand_f1,test_cat_accuracy,test_cat_f1,test_exact_match_ratio,test_loss,train_brand_accuracy,train_brand_f1,train_brand_loss,train_cat_accuracy,train_cat_f1,train_cat_loss,train_exact_match_ratio,train_loss,val_brand_accuracy,val_brand_f1,val_cat_accuracy,val_cat_f1,val_exact_match_ratio,val_loss
0,49,,,,,,,,,0.33000078797340393,,,0.09614700078964233,,0.42614778876304626,,,,,,
0,99,,,,,,,,,0.08392766118049622,,,0.29266682267189026,,0.3765944838523865,,,,,,
0,149,,,,,,,,,0.8624876141548157,,,0.28479570150375366,,1.1472833156585693,,,,,,
0,199,,,,,,,,,0.2125002145767212,,,0.30983856320381165,,0.5223387479782104,,,,,,
0,249,,,,,,,,,0.722723126411438,,,0.5343117713928223,,1.2570348978042603,,,,,,
0,299,,,,,,,,,0.10601763427257538,,,0.5876516103744507,,0.6936692595481873,,,,,,
0,349,,,,,,,,,0.35617807507514954,,,0.5625829100608826,,0.9187610149383545,,,,,,
0,399,,,,,,,,,0.19643689692020416,,,0.18723592162132263,,0.383672833442688,,,,,,
0,449,,,,,,,,,0.07805871218442917,,,0.33558574318885803,,0.4136444628238678,,,,,,
0,499,,,,,,,,,0.9321438670158386,,,0.07561782747507095,,1.0077617168426514,,,,,,
0,549,,,,,,,,,0.574203372001648,,,0.1202198788523674,,0.694423258304596,,,,,,
0,599,,,,,,,,,0.15655717253684998,,,0.20601707696914673,,0.3625742495059967,,,,,,
0,649,,,,,,,,,0.0641031563282013,,,0.16403771936893463,,0.22814087569713593,,,,,,
0,699,,,,,,,,,0.032633643597364426,,,0.7153621315956116,,0.7479957938194275,,,,,,
0,749,,,,,,,,,0.6023750901222229,,,0.29600661993026733,,0.8983817100524902,,,,,,
0,799,,,,,,,,,0.27938011288642883,,,0.4028095006942749,,0.6821895837783813,,,,,,
0,849,,,,,,,,,0.06957618147134781,,,0.35126692056655884,,0.42084309458732605,,,,,,
